timestamp,open,high,low,close,volume
2025-02-14 11:00:00,669.45,670.3,662.0,664.16,35163.549
2025-02-14 12:00:00,664.17,667.68,662.18,666.83,17882.148
2025-02-14 13:00:00,666.82,669.07,664.41,665.11,18950.248
2025-02-14 14:00:00,665.12,669.8,663.02,667.34,18775.722
2025-02-14 15:00:00,667.34,668.1,660.09,665.07,23773.244
2025-02-14 16:00:00,665.07,671.01,661.87,670.53,33255.797
2025-02-14 17:00:00,670.52,673.97,667.95,671.36,34501.822
2025-02-14 18:00:00,671.36,672.0,666.37,667.8,24027.652
2025-02-14 19:00:00,667.8,670.69,666.2,668.92,11247.174
2025-02-14 20:00:00,668.92,670.05,661.24,662.26,11754.246
2025-02-14 21:00:00,662.25,664.09,659.0,662.71,13598.843
2025-02-14 22:00:00,662.71,663.13,652.0,653.3,28359.597
2025-02-14 23:00:00,653.29,659.95,653.0,659.71,19021.687
2025-02-15 00:00:00,659.72,659.72,653.46,655.43,12966.289
2025-02-15 01:00:00,655.44,661.1,655.19,660.98,9121.068
2025-02-15 02:00:00,660.98,663.99,659.69,663.23,13118.49
2025-02-15 03:00:00,663.23,663.75,660.7,660.92,8523.008
2025-02-15 04:00:00,660.91,661.11,656.75,657.81,12891.346
2025-02-15 05:00:00,657.82,661.89,656.93,660.43,10344.084
2025-02-15 06:00:00,660.44,661.9,657.42,657.95,9191.855
2025-02-15 07:00:00,657.95,658.6,655.7,657.49,6918.123
2025-02-15 08:00:00,657.49,660.5,656.25,659.09,8744.071
2025-02-15 09:00:00,659.09,659.7,655.61,657.16,7012.743
2025-02-15 10:00:00,657.16,658.63,654.7,657.47,11909.864
2025-02-15 11:00:00,657.48,659.69,653.55,658.47,13568.896
2025-02-15 12:00:00,658.48,660.83,657.27,659.69,21833.287
2025-02-15 13:00:00,659.69,662.74,659.69,660.34,10904.445
2025-02-15 14:00:00,660.34,662.95,656.9,661.95,12513.963
2025-02-15 15:00:00,661.96,666.33,661.1,666.23,13911.232
2025-02-15 16:00:00,666.22,671.43,664.54,667.66,24047.148
