timestamp,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote
2025-02-19 16:00:00,652.59,656.96,649.13,656.01,12903.628,8435571.1061,62470.0,7038.013,4601953.9632
2025-02-19 17:00:00,656.0,657.53,653.64,655.6,6665.068,4369308.6137,37197.0,3399.776,2228692.8972
2025-02-19 18:00:00,655.6,656.76,648.25,649.73,8412.479,5496697.2653,44054.0,3897.142,2547059.959
2025-02-19 19:00:00,649.74,653.4,648.13,651.11,8777.513,5712076.4602,47015.0,4614.071,3002935.687
2025-02-19 20:00:00,651.11,653.09,649.46,650.19,9539.608,6210022.1684,39573.0,4890.87,3184308.9515
2025-02-19 21:00:00,650.2,654.18,649.5,650.96,7508.373,4896110.5291,36241.0,3853.711,2513020.9674
2025-02-19 22:00:00,650.95,655.55,650.13,651.3,14018.123,9147678.3093,45723.0,6459.436,4216299.7444
2025-02-19 23:00:00,651.3,654.27,648.96,653.38,17036.779,11099416.5616,59036.0,8148.75,5309913.9171
2025-02-20 00:00:00,653.38,655.2,649.85,652.28,20356.561,13276202.4939,93161.0,9384.998,6122198.5868
2025-02-20 01:00:00,652.27,655.01,649.33,649.97,14540.029,9477443.9438,57677.0,6586.519,4294379.1156
2025-02-20 02:00:00,649.96,653.76,648.54,653.19,11357.866,7390170.6978,35976.0,6059.309,3944222.7998
2025-02-20 03:00:00,653.19,654.47,651.25,653.82,9781.731,6387255.363,40411.0,5560.007,3630226.2664
2025-02-20 04:00:00,653.82,655.29,650.31,651.37,9523.34,6221714.1402,30675.0,4023.814,2629057.5206
2025-02-20 05:00:00,651.36,652.06,648.82,649.16,7344.918,4777923.3721,23309.0,2634.767,1714807.3871
2025-02-20 06:00:00,649.16,649.16,646.53,647.85,9610.74,6224491.67,30039.0,5261.966,3408275.9577
2025-02-20 07:00:00,647.86,650.53,646.8,648.95,5628.782,3652225.4102,25663.0,2843.903,1845570.0472
2025-02-20 08:00:00,648.95,650.0,647.14,649.17,6381.971,4139467.1326,26906.0,3208.392,2081331.068
2025-02-20 09:00:00,649.17,649.4,647.74,648.77,4768.023,3092469.2522,22243.0,2192.676,1422141.9564
2025-02-20 10:00:00,648.78,651.09,647.65,650.72,8576.326,5567944.0051,27977.0,4459.874,2896181.2536
2025-02-20 11:00:00,650.72,651.25,648.0,648.28,7931.654,5152089.3604,30055.0,2908.848,1890131.9862
2025-02-20 12:00:00,648.28,650.5,645.88,646.57,7385.767,4787533.1551,31839.0,3766.354,2442341.9184
2025-02-20 13:00:00,646.55,650.66,646.55,650.56,9360.811,6072162.6913,42000.0,5808.974,3768141.3169
2025-02-20 14:00:00,650.56,654.4,647.13,648.17,13421.641,8747657.0514,71615.0,6394.437,4168375.8028
2025-02-20 15:00:00,648.17,650.88,647.22,648.01,8830.794,5733570.6316,48014.0,4865.153,3159515.2984
2025-02-20 16:00:00,648.02,651.47,647.53,648.88,8905.974,5790223.4703,42199.0,4145.3,2695372.0837
2025-02-20 17:00:00,648.87,654.7,648.75,654.59,12514.498,8167228.1363,39885.0,5617.255,3666585.6161
2025-02-20 18:00:00,654.59,656.34,653.76,655.45,8843.045,5790609.2072,39264.0,4685.238,3067945.9067
2025-02-20 19:00:00,655.44,657.84,654.77,656.5,4588.916,3011968.7701,26741.0,2108.483,1383929.7117
2025-02-20 20:00:00,656.5,658.5,654.64,655.15,6790.616,4459436.2713,25177.0,2900.088,1905188.0478
2025-02-20 21:00:00,655.15,656.5,654.23,654.8,4818.81,3156909.751,25494.0,2679.193,1755370.4413
2025-02-20 22:00:00,654.8,659.03,653.65,656.65,8560.536,5613856.5881,23671.0,4549.086,2982860.4026
2025-02-20 23:00:00,656.65,658.99,656.25,656.36,6071.019,3993093.423,21885.0,3406.139,2240588.1695
2025-02-21 00:00:00,656.36,657.57,652.52,653.27,5300.99,3473342.6517,31348.0,2543.503,1666814.8614
2025-02-21 01:00:00,653.28,654.3,651.29,652.73,5352.889,3492925.4377,25216.0,2633.512,1718708.7597
2025-02-21 02:00:00,652.74,653.43,651.05,651.94,5426.707,3538634.6506,22169.0,2786.936,1817389.7186
2025-02-21 03:00:00,651.94,653.58,650.67,651.41,6058.617,3950494.7398,17541.0,2372.063,1547096.7707
2025-02-21 04:00:00,651.41,652.69,650.55,652.11,4969.927,3237532.8037,19505.0,2556.591,1665598.5597
2025-02-21 05:00:00,652.1,652.87,651.42,651.59,5360.102,3495182.6992,22176.0,2697.967,1759323.4334
2025-02-21 06:00:00,651.58,654.08,651.21,653.68,5283.08,3447621.002,19335.0,3378.039,2204708.8012
2025-02-21 07:00:00,653.68,655.75,653.12,655.75,7591.489,4966087.6782,22974.0,4596.057,3006825.7135
2025-02-21 08:00:00,655.74,657.09,655.06,655.96,10257.585,6731980.8123,31060.0,5844.28,3835531.1375
2025-02-21 09:00:00,655.96,661.43,655.96,659.64,15625.359,10296285.5054,50695.0,7968.374,5249798.2759
2025-02-21 10:00:00,659.64,665.22,659.47,663.19,16525.45,10950878.0869,47400.0,9563.845,6336981.0668
2025-02-21 11:00:00,663.2,663.5,660.5,662.05,7928.197,5248835.8996,34218.0,4032.336,2669761.7136
2025-02-21 12:00:00,662.05,664.42,661.05,664.29,6792.658,4503765.143,32165.0,3783.305,2508944.9631
2025-02-21 13:00:00,664.29,667.54,664.19,666.88,19406.01,12931453.453,56497.0,6808.682,4536686.5923
2025-02-21 14:00:00,666.88,668.5,662.28,664.53,22157.84,14752100.5165,68692.0,7502.114,4992834.838
2025-02-21 15:00:00,664.53,668.2,649.12,657.93,51522.179,33832667.9166,187504.0,22381.569,14697080.3612
2025-02-21 16:00:00,657.93,662.52,655.18,656.23,28107.479,18519455.9879,105517.0,13069.436,8613544.5062
2025-02-21 17:00:00,656.23,657.48,643.71,646.47,22089.368,14333235.7152,93625.0,10637.115,6904928.8234
